OrderID,CustomerID,OrderDateTime,DeliveryDateTime,TotalAmount,DeliveryStatus
42,78,11/22/2024 18:31,11/22/2024 18:47,1209,Delivered
43,288,10/7/2024 6:43,10/7/2024 6:56,1331,Delivered
44,156,10/27/2024 21:53,10/27/2024 22:09,254,Delivered
45,202,11/12/2024 3:42,11/12/2024 3:56,287,Delivered
46,241,10/22/2024 7:40,10/22/2024 7:57,366,Delivered
47,282,10/27/2024 12:33,10/27/2024 12:49,317,Delivered
48,105,11/18/2024 2:18,11/18/2024 2:33,835,Delivered
49,195,11/2/2024 11:58,11/2/2024 12:13,1339,Delivered
50,120,11/4/2024 20:23,11/4/2024 20:38,762,Delivered
51,248,11/11/2024 8:34,11/11/2024 8:42,474,Delivered
52,108,10/25/2024 11:27,10/25/2024 11:35,426,Delivered
53,2,10/25/2024 5:51,10/25/2024 6:03,712,Delivered
54,124,10/10/2024 9:06,10/10/2024 9:14,678,Delivered
55,252,10/28/2024 8:28,10/28/2024 8:38,278,Delivered
56,144,9/30/2024 5:44,9/30/2024 5:53,155,Delivered
57,116,10/27/2024 3:53,10/27/2024 4:01,1185,Delivered
58,239,11/12/2024 15:09,11/12/2024 15:18,669,Delivered
59,48,10/24/2024 3:46,10/24/2024 4:02,750,Delivered
60,17,10/8/2024 14:53,10/8/2024 15:03,524,Delivered
61,180,10/3/2024 2:05,10/3/2024 2:20,451,Delivered
62,176,10/18/2024 8:37,10/18/2024 8:54,393,Delivered
63,143,10/17/2024 11:58,10/17/2024 12:06,865,Delivered
64,96,11/2/2024 4:10,11/2/2024 4:21,872,Delivered
65,283,10/20/2024 17:35,10/20/2024 17:48,1164,Delivered
66,7,11/1/2024 8:49,11/1/2024 9:03,634,Delivered
67,53,10/29/2024 2:28,10/29/2024 2:38,813,Delivered
68,20,10/29/2024 22:29,10/29/2024 22:39,1468,Delivered
69,167,10/13/2024 21:54,10/13/2024 22:05,1272,Delivered
70,55,10/10/2024 15:15,10/10/2024 15:28,1046,Delivered
71,105,10/16/2024 10:00,10/16/2024 10:17,182,Delivered
72,107,10/20/2024 23:14,10/20/2024 23:31,176,Delivered
73,209,10/2/2024 6:25,10/2/2024 6:37,510,Delivered
74,261,11/5/2024 2:12,11/5/2024 2:23,360,Delivered
75,287,11/4/2024 3:13,11/4/2024 3:27,258,Delivered
76,104,11/2/2024 4:35,11/2/2024 4:48,642,Delivered
77,151,10/29/2024 21:08,10/29/2024 21:25,1208,Delivered
78,110,11/10/2024 12:10,11/10/2024 12:25,487,Delivered
79,135,11/6/2024 0:05,11/6/2024 0:19,694,Delivered
80,255,11/19/2024 22:37,11/19/2024 22:49,1002,Delivered
81,111,10/10/2024 3:55,,1041,Cancelled
82,50,10/3/2024 20:54,,281,Cancelled
83,110,10/23/2024 12:26,10/23/2024 12:39,724,Delivered
84,88,10/15/2024 12:56,10/15/2024 13:09,1350,Delivered
85,92,10/14/2024 23:32,10/14/2024 23:47,510,Delivered
86,150,11/9/2024 6:25,11/9/2024 6:39,646,Delivered
87,60,10/23/2024 2:08,,874,Cancelled
88,24,9/28/2024 12:25,9/28/2024 12:35,849,Delivered
89,205,9/30/2024 20:33,9/30/2024 20:50,785,Delivered
90,101,11/14/2024 9:56,11/14/2024 10:04,173,Delivered
91,244,10/27/2024 2:19,10/27/2024 2:34,485,Delivered
92,247,11/5/2024 11:58,11/5/2024 12:15,1118,Delivered
93,122,11/16/2024 4:26,11/16/2024 4:38,852,Delivered
94,240,11/22/2024 0:29,11/22/2024 0:37,746,Delivered
95,89,11/6/2024 1:41,11/6/2024 1:58,1481,Delivered
96,91,10/8/2024 23:20,10/8/2024 23:28,516,Delivered
97,226,11/13/2024 22:14,11/13/2024 22:31,1389,Delivered
98,245,11/14/2024 20:53,11/14/2024 21:02,1005,Delivered
99,181,9/26/2024 23:43,9/26/2024 23:51,1309,Delivered
100,73,10/10/2024 9:51,10/10/2024 10:06,475,Delivered
101,76,10/15/2024 14:03,10/15/2024 14:15,361,Delivered
102,36,11/3/2024 17:57,11/3/2024 18:07,1286,Delivered
103,54,11/23/2024 9:01,11/23/2024 9:16,1092,Delivered
104,80,11/11/2024 20:19,11/11/2024 20:30,1185,Delivered
105,102,11/4/2024 14:18,11/4/2024 14:34,1492,Delivered
106,189,11/21/2024 7:14,11/21/2024 7:31,936,Delivered
107,137,11/1/2024 2:27,11/1/2024 2:35,1364,Delivered
108,182,10/20/2024 3:14,10/20/2024 3:23,760,Delivered
109,163,10/18/2024 0:48,10/18/2024 1:03,643,Delivered
110,192,11/19/2024 6:50,11/19/2024 6:58,492,Delivered
111,178,9/27/2024 3:12,9/27/2024 3:21,1225,Delivered
112,56,10/29/2024 8:42,10/29/2024 8:50,632,Delivered
113,188,11/5/2024 19:15,11/5/2024 19:31,972,Delivered
114,60,10/22/2024 3:21,10/22/2024 3:33,1054,Delivered
115,136,9/27/2024 19:13,9/27/2024 19:27,128,Delivered
116,182,11/13/2024 8:38,11/13/2024 8:51,1414,Delivered
117,68,10/27/2024 0:06,10/27/2024 0:23,130,Delivered
118,103,10/31/2024 16:41,10/31/2024 16:55,561,Delivered
119,12,11/9/2024 14:46,11/9/2024 14:57,1008,Delivered
120,1,10/8/2024 0:49,10/8/2024 1:01,1228,Delivered
121,247,9/30/2024 19:32,9/30/2024 19:46,1204,Delivered
122,131,11/16/2024 6:45,11/16/2024 7:00,745,Delivered
123,183,10/15/2024 18:45,10/15/2024 18:54,1396,Delivered
124,48,10/6/2024 18:38,10/6/2024 18:53,1460,Delivered
125,107,10/1/2024 0:14,10/1/2024 0:24,355,Delivered
126,77,11/15/2024 7:05,11/15/2024 7:22,276,Delivered
127,253,9/30/2024 20:45,9/30/2024 21:01,655,Delivered
128,55,11/18/2024 21:55,11/18/2024 22:03,948,Delivered
129,188,10/31/2024 20:06,10/31/2024 20:17,1406,Delivered
130,100,11/3/2024 9:59,11/3/2024 10:12,347,Delivered
131,16,10/14/2024 22:16,10/14/2024 22:26,103,Delivered
132,48,11/9/2024 14:04,11/9/2024 14:15,892,Delivered
133,263,10/30/2024 5:35,10/30/2024 5:48,216,Delivered
134,73,11/16/2024 1:04,11/16/2024 1:17,593,Delivered
135,128,11/18/2024 22:36,11/18/2024 22:45,1311,Delivered
136,275,11/9/2024 10:29,11/9/2024 10:46,1097,Delivered
137,96,9/27/2024 0:14,9/27/2024 0:22,479,Delivered
138,183,11/4/2024 16:21,11/4/2024 16:35,424,Delivered
139,109,10/15/2024 21:18,10/15/2024 21:30,1039,Delivered
140,84,10/7/2024 6:51,10/7/2024 7:02,1408,Delivered
141,52,9/30/2024 0:31,9/30/2024 0:44,1117,Delivered
142,260,10/17/2024 6:24,10/17/2024 6:33,111,Delivered
143,232,11/1/2024 18:12,11/1/2024 18:22,1136,Delivered
144,109,11/6/2024 22:34,11/6/2024 22:42,1273,Delivered
145,52,10/16/2024 8:02,10/16/2024 8:16,958,Delivered
146,202,10/26/2024 1:46,10/26/2024 1:57,916,Delivered
147,63,10/26/2024 6:31,10/26/2024 6:39,678,Delivered
148,257,11/7/2024 7:46,11/7/2024 8:03,140,Delivered
149,68,10/31/2024 5:15,10/31/2024 5:23,1113,Delivered
150,204,10/23/2024 14:28,10/23/2024 14:38,943,Delivered
151,279,10/15/2024 1:53,10/15/2024 2:09,431,Delivered
152,77,11/8/2024 3:02,11/8/2024 3:13,180,Delivered
153,237,11/22/2024 21:19,11/22/2024 21:30,1285,Delivered
154,116,11/17/2024 5:59,11/17/2024 6:12,568,Delivered
155,113,11/7/2024 10:11,11/7/2024 10:21,626,Delivered
156,197,10/21/2024 3:02,10/21/2024 3:16,1085,Delivered
157,2,10/28/2024 6:36,10/28/2024 6:45,322,Delivered
158,87,11/12/2024 13:44,11/12/2024 13:53,1304,Delivered
159,94,9/28/2024 13:07,9/28/2024 13:23,1293,Delivered
160,39,10/17/2024 10:37,10/17/2024 10:45,593,Delivered
161,112,9/27/2024 2:17,9/27/2024 2:32,1372,Delivered
162,284,11/10/2024 1:32,11/10/2024 1:47,1163,Delivered
163,245,10/18/2024 16:50,10/18/2024 17:04,1032,Delivered
164,91,11/17/2024 14:09,11/17/2024 14:21,588,Delivered
165,176,10/16/2024 19:16,10/16/2024 19:28,751,Delivered
166,54,10/24/2024 0:19,10/24/2024 0:32,471,Delivered
167,231,10/1/2024 10:39,10/1/2024 10:55,1475,Delivered
168,89,10/5/2024 7:33,10/5/2024 7:49,459,Delivered
169,29,11/20/2024 5:54,11/20/2024 6:07,977,Delivered
170,253,10/25/2024 23:22,10/25/2024 23:37,509,Delivered
171,220,10/28/2024 16:23,10/28/2024 16:34,1462,Delivered
172,294,11/2/2024 2:07,11/2/2024 2:24,1042,Delivered
173,161,11/12/2024 15:02,11/12/2024 15:18,1082,Delivered
174,86,11/11/2024 11:46,11/11/2024 12:00,1439,Delivered
175,178,10/12/2024 4:40,10/12/2024 4:57,1051,Delivered
176,86,11/21/2024 12:33,11/21/2024 12:46,715,Delivered
177,286,11/3/2024 5:40,11/3/2024 5:56,1176,Delivered
178,14,10/12/2024 1:52,10/12/2024 2:07,346,Delivered
179,153,10/15/2024 1:23,10/15/2024 1:32,1102,Delivered
180,66,11/4/2024 13:16,11/4/2024 13:32,1311,Delivered
181,290,9/28/2024 19:37,9/28/2024 19:50,580,Delivered
182,149,10/5/2024 1:34,10/5/2024 1:46,1434,Delivered
183,284,10/20/2024 16:59,10/20/2024 17:12,694,Delivered
184,120,10/26/2024 3:40,10/26/2024 3:56,1214,Delivered
185,109,11/8/2024 16:48,11/8/2024 17:04,1333,Delivered
186,72,10/10/2024 1:08,10/10/2024 1:24,873,Delivered
187,115,11/13/2024 5:51,11/13/2024 6:01,795,Delivered
188,212,10/2/2024 22:34,10/2/2024 22:47,680,Delivered
189,32,9/28/2024 14:38,9/28/2024 14:48,1413,Delivered
190,164,11/4/2024 15:08,11/4/2024 15:25,1259,Delivered
191,34,10/11/2024 10:24,10/11/2024 10:37,202,Delivered
192,32,11/3/2024 2:14,11/3/2024 2:26,638,Delivered
193,10,11/13/2024 3:32,11/13/2024 3:43,326,Delivered
194,268,10/3/2024 13:13,10/3/2024 13:25,587,Delivered
195,256,11/12/2024 0:21,11/12/2024 0:37,636,Delivered
196,270,10/25/2024 18:02,10/25/2024 18:10,612,Delivered
197,219,10/5/2024 20:31,10/5/2024 20:42,987,Delivered
198,227,11/1/2024 12:53,,1482,Cancelled
199,67,10/19/2024 11:33,10/19/2024 11:46,537,Delivered
200,92,11/7/2024 4:04,11/7/2024 4:16,691,Delivered
201,73,10/28/2024 15:05,10/28/2024 15:16,363,Delivered
202,39,10/17/2024 1:22,10/17/2024 1:30,648,Delivered
203,199,11/10/2024 2:14,11/10/2024 2:27,921,Delivered
204,110,11/10/2024 16:56,11/10/2024 17:10,1233,Delivered
205,205,10/19/2024 2:54,10/19/2024 3:07,1392,Delivered
206,242,9/29/2024 23:10,9/29/2024 23:22,199,Delivered
207,158,10/25/2024 9:19,10/25/2024 9:28,381,Delivered
208,243,11/6/2024 9:11,11/6/2024 9:26,445,Delivered
209,51,9/29/2024 14:44,,1268,Cancelled
210,117,10/26/2024 2:34,10/26/2024 2:48,371,Delivered
211,129,10/12/2024 15:35,,166,Cancelled
212,165,10/3/2024 19:49,10/3/2024 20:00,400,Delivered
213,143,10/22/2024 0:46,10/22/2024 1:02,400,Delivered
214,169,11/20/2024 11:02,11/20/2024 11:14,1485,Delivered
215,192,10/19/2024 17:39,10/19/2024 17:51,304,Delivered
216,137,10/28/2024 4:35,10/28/2024 4:50,153,Delivered
217,255,10/8/2024 16:42,,1365,Cancelled
218,156,11/14/2024 21:10,11/14/2024 21:22,1237,Delivered
219,230,11/4/2024 7:23,11/4/2024 7:34,330,Delivered
220,269,10/28/2024 1:55,,331,Cancelled
221,200,11/19/2024 11:29,11/19/2024 11:37,515,Delivered
222,28,11/14/2024 3:50,11/14/2024 3:59,1016,Delivered
223,34,11/19/2024 12:25,11/19/2024 12:42,716,Delivered
224,32,10/3/2024 15:56,10/3/2024 16:12,1216,Delivered
225,299,10/27/2024 21:02,,874,Cancelled
226,105,11/5/2024 16:51,11/5/2024 17:04,421,Delivered
227,102,10/15/2024 2:13,10/15/2024 2:28,474,Delivered
228,114,11/23/2024 8:30,11/23/2024 8:43,867,Delivered
229,164,11/16/2024 15:34,11/16/2024 15:50,156,Delivered
230,223,11/18/2024 4:03,11/18/2024 4:18,1158,Delivered
231,22,10/18/2024 14:38,10/18/2024 14:47,1402,Delivered
232,152,10/3/2024 17:15,10/3/2024 17:31,1318,Delivered
233,78,11/10/2024 11:25,11/10/2024 11:35,1256,Delivered
234,52,10/29/2024 23:28,10/29/2024 23:40,1002,Delivered
235,199,10/7/2024 8:03,10/7/2024 8:13,224,Delivered
236,180,10/12/2024 18:52,10/12/2024 19:09,523,Delivered
237,10,11/12/2024 17:38,11/12/2024 17:52,1067,Delivered
238,77,11/21/2024 23:38,11/21/2024 23:49,314,Delivered
239,204,9/28/2024 2:54,9/28/2024 3:03,1231,Delivered
240,75,11/13/2024 12:02,11/13/2024 12:15,1150,Delivered
241,165,11/9/2024 7:06,11/9/2024 7:19,816,Delivered
242,243,11/23/2024 7:24,11/23/2024 7:39,354,Delivered
243,246,11/17/2024 0:22,11/17/2024 0:33,509,Delivered
244,292,10/31/2024 8:45,10/31/2024 9:00,541,Delivered
245,165,11/11/2024 1:52,11/11/2024 2:01,806,Delivered
246,208,10/25/2024 3:14,10/25/2024 3:22,850,Delivered
247,96,11/15/2024 11:26,11/15/2024 11:40,812,Delivered
248,203,11/5/2024 6:41,11/5/2024 6:54,1160,Delivered
249,133,10/29/2024 19:19,10/29/2024 19:36,461,Delivered
250,28,11/8/2024 1:04,11/8/2024 1:12,1419,Delivered
251,278,9/26/2024 14:01,9/26/2024 14:13,611,Delivered
252,225,10/31/2024 18:27,10/31/2024 18:41,1256,Delivered
253,139,11/7/2024 20:32,11/7/2024 20:47,356,Delivered
254,45,11/21/2024 8:33,11/21/2024 8:43,669,Delivered
255,271,10/15/2024 18:50,10/15/2024 19:07,1326,Delivered
256,241,10/19/2024 21:01,10/19/2024 21:18,1389,Delivered
257,90,10/21/2024 14:24,10/21/2024 14:36,729,Delivered
258,250,10/7/2024 11:32,10/7/2024 11:42,363,Delivered
259,69,11/13/2024 2:56,11/13/2024 3:07,461,Delivered
260,293,11/23/2024 20:05,11/23/2024 20:19,1156,Delivered
261,197,9/27/2024 3:11,9/27/2024 3:26,170,Delivered
262,127,10/15/2024 18:16,10/15/2024 18:33,178,Delivered
263,260,11/22/2024 13:22,11/22/2024 13:36,1298,Delivered
264,136,10/7/2024 6:40,10/7/2024 6:48,1437,Delivered
265,49,11/8/2024 0:03,11/8/2024 0:20,812,Delivered
266,172,11/4/2024 9:37,11/4/2024 9:48,1434,Delivered
267,54,10/12/2024 14:53,10/12/2024 15:07,952,Delivered
268,262,11/12/2024 0:35,11/12/2024 0:44,663,Delivered
269,173,10/19/2024 0:36,10/19/2024 0:49,851,Delivered
270,246,10/4/2024 9:32,10/4/2024 9:47,1149,Delivered
271,46,10/30/2024 3:13,10/30/2024 3:21,271,Delivered
272,237,11/20/2024 9:06,11/20/2024 9:17,279,Delivered
273,31,10/13/2024 4:50,10/13/2024 4:58,140,Delivered
274,65,10/18/2024 14:33,10/18/2024 14:41,1288,Delivered
275,6,11/9/2024 18:15,,1398,Cancelled
276,222,10/7/2024 8:04,10/7/2024 8:21,1041,Delivered
277,142,10/9/2024 15:55,10/9/2024 16:06,428,Delivered
278,160,9/29/2024 9:11,9/29/2024 9:25,551,Delivered
279,168,10/23/2024 23:56,,1346,Cancelled
280,224,10/17/2024 6:04,10/17/2024 6:21,862,Delivered
281,229,10/8/2024 13:07,10/8/2024 13:24,873,Delivered
282,132,10/21/2024 11:04,10/21/2024 11:16,580,Delivered
283,270,9/29/2024 15:41,9/29/2024 15:54,905,Delivered
284,158,10/27/2024 15:26,10/27/2024 15:42,467,Delivered
285,138,10/6/2024 23:08,10/6/2024 23:21,831,Delivered
286,226,10/11/2024 14:39,10/11/2024 14:51,846,Delivered
287,207,10/23/2024 14:19,10/23/2024 14:34,1289,Delivered
288,64,11/1/2024 10:00,11/1/2024 10:09,845,Delivered
289,179,11/23/2024 10:30,11/23/2024 10:47,789,Delivered
290,36,10/17/2024 14:15,10/17/2024 14:29,718,Delivered
291,163,11/14/2024 10:01,11/14/2024 10:11,1267,Delivered
292,280,11/13/2024 13:42,11/13/2024 13:55,1460,Delivered
293,263,11/2/2024 23:23,11/2/2024 23:35,1038,Delivered
294,181,10/6/2024 12:42,10/6/2024 12:52,1022,Delivered
295,95,11/8/2024 12:19,11/8/2024 12:28,753,Delivered
296,241,11/9/2024 4:59,11/9/2024 5:15,638,Delivered
297,172,9/28/2024 14:32,9/28/2024 14:45,746,Delivered
298,273,11/20/2024 19:54,11/20/2024 20:06,307,Delivered
299,18,10/6/2024 11:34,10/6/2024 11:51,716,Delivered
300,107,10/28/2024 20:44,10/28/2024 21:00,1047,Delivered
301,264,10/12/2024 21:13,10/12/2024 21:30,603,Delivered
302,253,10/19/2024 16:35,10/19/2024 16:45,181,Delivered
303,213,10/31/2024 6:42,10/31/2024 6:59,345,Delivered
304,270,11/23/2024 21:33,11/23/2024 21:49,911,Delivered
305,176,11/20/2024 12:10,11/20/2024 12:21,719,Delivered
306,250,9/29/2024 4:16,9/29/2024 4:28,924,Delivered
307,189,11/14/2024 0:47,11/14/2024 1:04,787,Delivered
308,188,11/5/2024 2:40,11/5/2024 2:56,881,Delivered
309,162,10/17/2024 18:47,10/17/2024 19:01,592,Delivered
310,264,11/12/2024 7:09,11/12/2024 7:17,767,Delivered
311,16,11/23/2024 3:59,11/23/2024 4:07,1185,Delivered
312,258,11/9/2024 10:55,11/9/2024 11:10,720,Delivered
313,149,11/7/2024 20:21,,1264,Cancelled
314,39,10/15/2024 9:41,10/15/2024 9:49,631,Delivered
315,5,11/16/2024 7:19,11/16/2024 7:36,1271,Delivered
316,268,10/13/2024 10:33,10/13/2024 10:50,665,Delivered
317,201,11/17/2024 11:36,11/17/2024 11:47,625,Delivered
318,109,10/3/2024 20:23,10/3/2024 20:33,385,Delivered
319,146,10/4/2024 14:08,,198,Cancelled
320,213,11/2/2024 9:43,11/2/2024 10:00,1388,Delivered
321,163,11/3/2024 6:04,11/3/2024 6:19,300,Delivered
322,149,11/21/2024 15:43,11/21/2024 15:59,1119,Delivered
323,289,11/8/2024 4:32,11/8/2024 4:47,558,Delivered
324,271,11/19/2024 13:40,11/19/2024 13:56,944,Delivered
325,252,10/3/2024 0:26,10/3/2024 0:36,882,Delivered
326,186,10/7/2024 8:22,10/7/2024 8:34,1236,Delivered
327,256,11/22/2024 0:50,11/22/2024 1:04,421,Delivered
328,207,11/20/2024 1:29,11/20/2024 1:42,158,Delivered
329,82,11/16/2024 20:19,11/16/2024 20:30,1171,Delivered
330,209,11/1/2024 19:37,11/1/2024 19:45,1376,Delivered
331,204,11/16/2024 14:29,11/16/2024 14:39,1175,Delivered
332,281,10/30/2024 18:48,10/30/2024 19:02,231,Delivered
333,156,11/20/2024 15:05,11/20/2024 15:19,571,Delivered
334,85,11/13/2024 12:14,11/13/2024 12:22,305,Delivered
335,31,11/17/2024 13:38,11/17/2024 13:48,506,Delivered
336,85,11/8/2024 15:30,11/8/2024 15:42,979,Delivered
337,94,10/1/2024 6:48,10/1/2024 7:02,1462,Delivered
338,162,11/8/2024 17:40,11/8/2024 17:50,541,Delivered
339,199,10/29/2024 3:41,10/29/2024 3:49,1212,Delivered
340,100,11/11/2024 11:32,11/11/2024 11:44,997,Delivered
341,286,11/10/2024 6:09,11/10/2024 6:22,1154,Delivered
342,99,10/3/2024 8:30,10/3/2024 8:41,162,Delivered
343,36,10/27/2024 22:57,10/27/2024 23:14,1382,Delivered
344,51,9/28/2024 1:13,9/28/2024 1:23,115,Delivered
345,286,9/28/2024 0:42,9/28/2024 0:58,1224,Delivered
346,42,11/6/2024 8:40,11/6/2024 8:51,1272,Delivered
347,75,10/7/2024 18:42,10/7/2024 18:52,828,Delivered
348,146,10/14/2024 10:40,10/14/2024 10:53,279,Delivered
349,263,10/8/2024 18:40,10/8/2024 18:56,1305,Delivered
350,162,10/17/2024 14:50,10/17/2024 15:05,213,Delivered
351,231,10/18/2024 7:39,10/18/2024 7:56,977,Delivered
352,95,11/14/2024 16:11,11/14/2024 16:23,455,Delivered
353,298,10/10/2024 22:27,10/10/2024 22:40,1119,Delivered
354,190,11/11/2024 23:54,11/12/2024 0:02,867,Delivered
355,86,11/7/2024 13:04,11/7/2024 13:13,849,Delivered
356,5,10/10/2024 19:37,10/10/2024 19:47,446,Delivered
357,235,10/10/2024 7:10,10/10/2024 7:22,105,Delivered
358,224,11/1/2024 1:34,11/1/2024 1:51,113,Delivered
359,93,11/17/2024 5:35,11/17/2024 5:44,617,Delivered
360,271,10/3/2024 7:39,10/3/2024 7:50,1456,Delivered
361,239,10/8/2024 9:59,10/8/2024 10:07,1001,Delivered
362,293,9/28/2024 21:37,9/28/2024 21:45,473,Delivered
363,94,10/23/2024 13:03,10/23/2024 13:12,647,Delivered
364,189,11/18/2024 6:51,11/18/2024 7:04,453,Delivered
365,169,10/12/2024 20:00,10/12/2024 20:11,1338,Delivered
366,128,9/27/2024 0:43,9/27/2024 0:57,995,Delivered
367,262,10/6/2024 10:11,10/6/2024 10:28,734,Delivered
368,216,10/7/2024 19:44,10/7/2024 19:57,666,Delivered
369,272,11/4/2024 23:24,11/4/2024 23:36,1478,Delivered
370,18,10/28/2024 2:04,10/28/2024 2:17,1138,Delivered
371,15,11/7/2024 1:38,11/7/2024 1:50,733,Delivered
372,246,10/25/2024 17:47,10/25/2024 17:56,525,Delivered
373,229,10/24/2024 9:30,10/24/2024 9:45,1496,Delivered
374,273,9/29/2024 18:28,9/29/2024 18:38,565,Delivered
375,177,10/15/2024 19:21,10/15/2024 19:33,430,Delivered
376,9,10/7/2024 2:36,10/7/2024 2:52,1216,Delivered
377,41,10/3/2024 2:01,10/3/2024 2:12,598,Delivered
378,261,11/22/2024 19:29,,1055,Cancelled
379,21,10/1/2024 21:28,10/1/2024 21:40,1422,Delivered
380,190,10/23/2024 17:52,10/23/2024 18:06,526,Delivered
381,4,10/26/2024 9:54,10/26/2024 10:03,1040,Delivered
382,180,10/3/2024 19:28,10/3/2024 19:38,112,Delivered
383,230,10/7/2024 6:42,10/7/2024 6:57,878,Delivered
384,252,10/15/2024 10:52,10/15/2024 11:01,1018,Delivered
385,188,11/14/2024 7:57,11/14/2024 8:07,757,Delivered
386,265,10/15/2024 2:51,10/15/2024 2:59,830,Delivered
387,278,11/20/2024 12:59,11/20/2024 13:09,140,Delivered
388,32,10/10/2024 17:41,10/10/2024 17:52,475,Delivered
389,158,10/19/2024 10:31,10/19/2024 10:43,273,Delivered
390,69,11/19/2024 9:46,11/19/2024 10:00,291,Delivered
391,283,11/17/2024 16:19,11/17/2024 16:34,169,Delivered
392,89,11/5/2024 13:27,11/5/2024 13:40,801,Delivered
393,270,10/26/2024 2:46,10/26/2024 3:00,553,Delivered
394,222,10/24/2024 6:05,10/24/2024 6:21,598,Delivered
395,194,10/9/2024 3:22,10/9/2024 3:36,1079,Delivered
396,253,10/15/2024 9:27,10/15/2024 9:39,1118,Delivered
397,265,11/8/2024 20:34,11/8/2024 20:42,737,Delivered
398,157,10/27/2024 3:27,10/27/2024 3:40,164,Delivered
399,197,10/26/2024 21:24,10/26/2024 21:35,573,Delivered
400,9,10/5/2024 1:37,10/5/2024 1:47,189,Delivered
401,218,11/13/2024 9:35,11/13/2024 9:45,407,Delivered
402,261,11/1/2024 15:09,11/1/2024 15:21,1297,Delivered
403,51,9/30/2024 16:38,9/30/2024 16:51,1145,Delivered
404,24,10/10/2024 4:49,10/10/2024 5:00,112,Delivered
405,30,10/12/2024 5:22,10/12/2024 5:31,906,Delivered
406,186,10/12/2024 4:19,10/12/2024 4:35,1433,Delivered
407,122,10/24/2024 0:30,10/24/2024 0:45,1133,Delivered
408,212,11/12/2024 12:34,11/12/2024 12:49,1494,Delivered
409,128,10/15/2024 11:52,10/15/2024 12:04,704,Delivered
410,226,11/9/2024 13:58,11/9/2024 14:08,1157,Delivered
411,201,10/31/2024 18:24,10/31/2024 18:37,824,Delivered
412,1,10/14/2024 8:31,10/14/2024 8:48,335,Delivered
413,127,11/22/2024 12:15,11/22/2024 12:24,1200,Delivered
414,30,9/27/2024 9:02,9/27/2024 9:13,719,Delivered
415,99,9/26/2024 17:51,9/26/2024 17:59,403,Delivered
416,115,10/8/2024 18:16,10/8/2024 18:31,1395,Delivered
417,75,10/20/2024 21:22,10/20/2024 21:34,756,Delivered
418,243,11/20/2024 13:17,11/20/2024 13:30,214,Delivered
419,229,11/4/2024 13:31,11/4/2024 13:48,131,Delivered
420,145,10/9/2024 0:41,10/9/2024 0:52,236,Delivered
